"x","y"
57,115
24,49
43,87
83,167
11,23
82,165
37,75
28,57
11,23
23,47
1,3
46,93
27,55
6,13
35,71
68,137
94,189
70,141
11,23
50,101
46,93
58,117
59,119
40,81
16,33
67,135
57,115
87,175
99,199
13,27
21,43
36,73
36,73
94,189
11,23
14,29
52,105
46,93
91,183
58,117
40,81
79,159
19,39
36,73
16,33
15,31
49,99
12,25
68,137
1,3
27,55
58,117
76,153
84,169
10,21
58,117
49,99
7,15
95,191
69,139
70,141
90,181
10,21
52,105
2,5
82,165
18,37
98,197
77,155
58,117
19,39
3,7
51,103
44,89
21,43
3,7
70,141
42,85
28,57
2,5
61,123
72,145
66,133
73,147
43,87
48,97
99,199
79,159
59,119
56,113
19,39
9,19
55,111
57,115
1,3
78,157
42,85
32,65
39,79
54,109
57,115
60,121
61,123
18,37
26,53
36,73
14,29
94,189
21,43
41,83
52,105
70,141
35,71
79,159
65,131
66,133
38,77
79,159
56,113
13,27
96,193
26,53
96,193
32,65
5,11
56,113
19,39
4,9
56,113
32,65
9,19
60,121
31,63
59,119
94,189
65,131
55,111
81,163
20,41
22,45
29,59
99,199
61,123
29,59
9,19
97,195
44,89
45,91
30,61
4,9
63,127
81,163
83,167
91,183
57,115
29,59
56,113
83,167
11,23
24,49
10,21
46,93
11,23
58,117
17,35
19,39
28,57
2,5
91,183
88,177
72,145
8,17
22,45
52,105
77,155
68,137
78,157
31,63
90,181
46,93
28,57
32,65
4,9
65,131
71,143
82,165
27,55
97,195
38,77
25,51
77,155
34,69
45,91
20,41
65,131
98,197
12,25
24,49
39,79
84,169
98,197
87,175
86,173
46,93
9,19
72,145
59,119
93,187
28,57
81,163
15,31
39,79
29,59
62,125
87,175
19,39
27,55
89,179
74,149
33,67
60,121
1,3
40,81
25,51
49,99
17,35
5,11
12,25
9,19
53,107
37,75
94,189
36,73
2,5
82,165
26,53
98,197
92,185
35,71
62,125
11,23
66,133
100,201
1,3
1,3
43,87
24,49
78,157
52,105
57,115
54,109
95,191
17,35
45,91
53,107
78,157
66,133
93,187
54,109
31,63
49,99
15,31
47,95
22,45
60,121
53,107
25,51
87,175
31,63
13,27
26,53
23,47
40,81
74,149
31,63
71,143
56,113
78,157
90,181
19,39
19,39
11,23
23,47
1,3
98,197
79,159
96,193
1,3
71,143
98,197
43,87
32,65
17,35
51,103
11,23
20,41
44,89
63,127
2,5
76,153
13,27
6,13
23,47
75,151
76,153
4,9
75,151
69,139
88,177
24,49
33,67
21,43
8,17
71,143
23,47
27,55
91,183
28,57
69,139
46,93
45,91
67,135
91,183
47,95
54,109
37,75
7,15
13,27
19,39
97,195
92,185
27,55
29,59
14,29
9,19
96,193
24,49
79,159
39,79
61,123
73,147
22,45
2,5
94,189
17,35
100,201
26,53
76,153
53,107
24,49
36,73
20,41
80,161
26,53
51,103
47,95
74,149
69,139
22,45
37,75
8,17
40,81
25,51
10,21
75,151
19,39
86,173
46,93
18,37
18,37
80,161
61,123
1,3
92,185
1,3
87,175
100,201
33,67
74,149
72,145
49,99
14,29
8,17
81,163
52,105
98,197
14,29
93,187
40,81
66,133
52,105
18,37
56,113
26,53
17,35
83,167
27,55
72,145
20,41
71,143
12,25
78,157
71,143
77,155
95,191
72,145
86,173
18,37
48,97
26,53
45,91
47,95
16,33
45,91
67,135
75,151
29,59
1,3
82,165
81,163
87,175
77,155
46,93
80,161
26,53
24,49
56,113
85,171
42,85
76,153
58,117
14,29
21,43
84,169
64,129
7,15
63,127
60,121
16,33
100,201
75,151
60,121
56,113
22,45
22,45
8,17
61,123
61,123
80,161
13,27
73,147
1,3
34,69
30,61
78,157
57,115
39,79
99,199
6,13
23,47
82,165
11,23
28,57
22,45
42,85
58,117
62,125
69,139
37,75
42,85
94,189
44,89
60,121
71,143
1,3
9,19
6,13
3,7
87,175
41,83
94,189
43,87
82,165
5,11
80,161
70,141
58,117
78,157
74,149
27,55
76,153
81,163
49,99
76,153
69,139
61,123
91,183
84,169
50,101
36,73
96,193
42,85
49,99
47,95
88,177
80,161
1,3
34,69
82,165
62,125
66,133
44,89
5,11
52,105
30,61
36,73
74,149
16,33
52,105
28,57
1,3
87,175
19,39
63,127
18,37
94,189
66,133
4,9
77,155
43,87
39,79
32,65
16,33
22,45
76,153
80,161
17,35
24,49
100,201
23,47
43,87
65,131
44,89
57,115
2,5
64,129
65,131
42,85
27,55
96,193
9,19
84,169
95,191
53,107
59,119
14,29
25,51
56,113
50,101
6,13
44,89
20,41
14,29
49,99
24,49
63,127
31,63
20,41
63,127
72,145
12,25
21,43
86,173
61,123
35,71
77,155
13,27
71,143
32,65
35,71
58,117
73,147
74,149
26,53
82,165
85,171
23,47
12,25
85,171
94,189
82,165
39,79
47,95
56,113
91,183
87,175
91,183
65,131
25,51
98,197
91,183
60,121
27,55
14,29
53,107
31,63
21,43
72,145
60,121
85,171
42,85
2,5
95,191
45,91
83,167
12,25
12,25
53,107
10,21
1,3
33,67
80,161
33,67
70,141
7,15
2,5
34,69
69,139
96,193
20,41
41,83
71,143
100,201
18,37
28,57
20,41
39,79
93,187
53,107
53,107
12,25
77,155
73,147
54,109
7,15
24,49
50,101
25,51
5,11
63,127
51,103
35,71
43,87
61,123
42,85
99,199
91,183
77,155
61,123
43,87
89,179
73,147
15,31
70,141
86,173
84,169
27,55
54,109
62,125
41,83
53,107
58,117
88,177
32,65
66,133
40,81
28,57
3,7
51,103
85,171
88,177
75,151
14,29
43,87
72,145
3,7
83,167
9,19
16,33
31,63
79,159
24,49
68,137
89,179
78,157
20,41
79,159
9,19
91,183
39,79
64,129
48,97
50,101
88,177
58,117
73,147
30,61
48,97
54,109
31,63
32,65
13,27
13,27
85,171
62,125
1,3
24,49
98,197
84,169
54,109
35,71
64,129
7,15
16,33
92,185
100,201
64,129
78,157
37,75
77,155
78,157
93,187
13,27
42,85
81,163
60,121
95,191
54,109
16,33
100,201
80,161
90,181
76,153
62,125
54,109
10,21
49,99
78,157
63,127
83,167
88,177
94,189
60,121
15,31
54,109
86,173
16,33
59,119
54,109
24,49
95,191
60,121
80,161
43,87
99,199
50,101
16,33
49,99
73,147
61,123
27,55
95,191
37,75
39,79
73,147
12,25
47,95
49,99
16,33
7,15
42,85
45,91
50,101
85,171
86,173
64,129
69,139
41,83
36,73
49,99
98,197
36,73
62,125
25,51
45,91
43,87
90,181
87,175
29,59
30,61
12,25
33,67
38,77
20,41
27,55
51,103
44,89
39,79
51,103
74,149
77,155
40,81
73,147
6,13
63,127
82,165
80,161
37,75
52,105
83,167
31,63
73,147
38,77
12,25
93,187
78,157
61,123
32,65
78,157
8,17
1,3
9,19
30,61
77,155
12,25
15,31
25,51
81,163
79,159
25,51
76,153
100,201
12,25
97,195
5,11
18,37
18,37
2,5
27,55
74,149
60,121
97,195
87,175
77,155
4,9
27,55
67,135
87,175
57,115
39,79
86,173
41,83
58,117
93,187
78,157
37,75
81,163
34,69
76,153
59,119
90,181
64,129
67,135
26,53
19,39
73,147
50,101
62,125
47,95
57,115
79,159
35,71
70,141
20,41
15,31
14,29
28,57
56,113
59,119
43,87
2,5
85,171
46,93
38,77
79,159
92,185
62,125
43,87
31,63
25,51
14,29
19,39
18,37
23,47
76,153
86,173
1,3
61,123
69,139
39,79
31,63
82,165
17,35
84,169
81,163
86,173
28,57
9,19
89,179
16,33
50,101
52,105
22,45
80,161
45,91
64,129
90,181
39,79
63,127
44,89
29,59
21,43
78,157
60,121
87,175
33,67
29,59
99,199
80,161
74,149
89,179
83,167
12,25
62,125
55,111
8,17
76,153
86,173
39,79
62,125
52,105
23,47
71,143
16,33
12,25
11,23
33,67
34,69
69,139
48,97
73,147
17,35
1,3
78,157
24,49
13,27
25,51
80,161
20,41
24,49
88,177
80,161
95,191
10,21
23,47
83,167
29,59
40,81
55,111
51,103
69,139
82,165
28,57
73,147
41,83
29,59
46,93
26,53
19,39
48,97
14,29
13,27
10,21
87,175
70,141
88,177
82,165
55,111
79,159
100,201
33,67
74,149
38,77
30,61
12,25
79,159
35,71
33,67
62,125
10,21
56,113
87,175
87,175
63,127
11,23
77,155
21,43
91,183
63,127
37,75
24,49
26,53
88,177
34,69
79,159
23,47
37,75
41,83
56,113
98,197
29,59
49,99
58,117
69,139
57,115
45,91
98,197
25,51
5,11
26,53
76,153
99,199
28,57
91,183
8,17
78,157
74,149
94,189
92,185
91,183
22,45
95,191
33,67
14,29
75,151
39,79
92,185
39,79
86,173
89,179
78,157
67,135
38,77
65,131
47,95
8,17
18,37
75,151
60,121
12,25
16,33
29,59
67,135
49,99
61,123
93,187
26,53
99,199
71,143
7,15
100,201
98,197
67,135
26,53
7,15
70,141
66,133
65,131
14,29
33,67
28,57
66,133
78,157
29,59
30,61
71,143
38,77
41,83
66,133
69,139
65,131
59,119
18,37
34,69
46,93
39,79
62,125
99,199
97,195
59,119
62,125
31,63
89,179
39,79
54,109
43,87
30,61
16,33
72,145
59,119
27,55
62,125
41,83
70,141
53,107
69,139
45,91
74,149
20,41
25,51
80,161
19,39
12,25
63,127
86,173
6,13
54,109
46,93
70,141
75,151
46,93
66,133
68,137
86,173
77,155
56,113
54,109
31,63
90,181
70,141
48,97
29,59
83,167
17,35
82,165
6,13
70,141
92,185
61,123
30,61
4,9
30,61
39,79
80,161
93,187
48,97
46,93
76,153
6,13
74,149
92,185
60,121
46,93
30,61
46,93
12,25
6,13
38,77
18,37
67,135
41,83
61,123
72,145
39,79
70,141
72,145
69,139
77,155
54,109
67,135
72,145
88,177
100,201
95,191
91,183
32,65
41,83
63,127
31,63
69,139
6,13
53,107
35,71
94,189
96,193
10,21
81,163
54,109
66,133
53,107
39,79
3,7
51,103
90,181
22,45
37,75
26,53
93,187
10,21
57,115
57,115
66,133
22,45
95,191
76,153
25,51
96,193
40,81
16,33
85,171
41,83
57,115
63,127
59,119
68,137
54,109
71,143
58,117
99,199
55,111
27,55
11,23
23,47
47,95
91,183
17,35
11,23
31,63
60,121
59,119
95,191
100,201
65,131
8,17
86,173
86,173
5,11
34,69
32,65
31,63
10,21
10,21
89,179
67,135
92,185
55,111
74,149
57,115
82,165
81,163
23,47
27,55
23,47
85,171
47,95
51,103
13,27
24,49
70,141
100,201
59,119
47,95
36,73
10,21
41,83
27,55
7,15
51,103
86,173
81,163
82,165
30,61
46,93
93,187
52,105
5,11
17,35
98,197
30,61
71,143
12,25
20,41
25,51
42,85
52,105
81,163
80,161
96,193
2,5
26,53
97,195
90,181
23,47
55,111
79,159
27,55
28,57
50,101
12,25
92,185
95,191
29,59
53,107
22,45
10,21
70,141
39,79
38,77
57,115
70,141
78,157
34,69
64,129
35,71
12,25
65,131
94,189
11,23
83,167
15,31
75,151
25,51
94,189
91,183
57,115
22,45
50,101
76,153
67,135
34,69
27,55
4,9
22,45
99,199
95,191
56,113
84,169
72,145
40,81
88,177
62,125
14,29
98,197
60,121
83,167
28,57
21,43
82,165
15,31
36,73
96,193
47,95
61,123
13,27
2,5
99,199
83,167
18,37
56,113
71,143
35,71
15,31
28,57
12,25
71,143
45,91
4,9
74,149
37,75
1,3
63,127
22,45
28,57
38,77
12,25
25,51
12,25
88,177
83,167
97,195
13,27
94,189
37,75
66,133
92,185
69,139
86,173
66,133
93,187
28,57
9,19
47,95
70,141
79,159
10,21
93,187
91,183
91,183
15,31
89,179
86,173
38,77
9,19
84,169
26,53
86,173
77,155
67,135
81,163
29,59
89,179
12,25
44,89
17,35
99,199
59,119
51,103
79,159
81,163
24,49
90,181
18,37
32,65
23,47
87,175
65,131
63,127
33,67
12,25
44,89
7,15
100,201
17,35
95,191
6,13
20,41
31,63
93,187
39,79
67,135
71,143
15,31
61,123
89,179
73,147
90,181
60,121
41,83
46,93
27,55
90,181
33,67
13,27
90,181
1,3
35,71
58,117
74,149
17,35
26,53
7,15
79,159
32,65
35,71
12,25
32,65
11,23
32,65
56,113
50,101
50,101
23,47
41,83
33,67
40,81
60,121
17,35
22,45
4,9
49,99
8,17
3,7
92,185
88,177
59,119
20,41
50,101
21,43
10,21
36,73
53,107
53,107
89,179
56,113
42,85
65,131
32,65
87,175
23,47
6,13
80,161
78,157
67,135
79,159
8,17
1,3
22,45
93,187
34,69
9,19
50,101
41,83
21,43
64,129
9,19
62,125
81,163
50,101
84,169
53,107
13,27
7,15
86,173
21,43
55,111
8,17
71,143
75,151
43,87
39,79
56,113
71,143
3,7
40,81
18,37
54,109
33,67
31,63
95,191
26,53
79,159
94,189
73,147
65,131
10,21
60,121
77,155
43,87
98,197
22,45
77,155
99,199
68,137
15,31
55,111
89,179
25,51
73,147
23,47
22,45
4,9
66,133
55,111
100,201
33,67
89,179
14,29
79,159
94,189
98,197
34,69
92,185
76,153
45,91
77,155
14,29
9,19
9,19
20,41
11,23
59,119
47,95
68,137
82,165
68,137
18,37
100,201
94,189
31,63
22,45
92,185
4,9
74,149
38,77
11,23
90,181
78,157
3,7
57,115
60,121
55,111
80,161
95,191
53,107
97,195
77,155
89,179
67,135
78,157
82,165
67,135
45,91
97,195
46,93
1,3
20,41
98,197
59,119
14,29
63,127
75,151
25,51
86,173
5,11
92,185
27,55
69,139
65,131
43,87
48,97
51,103
54,109
95,191
80,161
39,79
54,109
52,105
47,95
87,175
65,131
88,177
56,113
67,135
14,29
92,185
32,65
91,183
39,79
100,201
98,197
51,103
20,41
41,83
70,141
63,127
96,193
83,167
21,43
11,23
95,191
59,119
53,107
1,3
92,185
21,43
46,93
8,17
70,141
69,139
20,41
64,129
36,73
9,19
68,137
81,163
98,197
60,121
90,181
86,173
92,185
79,159
55,111
14,29
26,53
6,13
89,179
75,151
58,117
60,121
35,71
63,127
60,121
75,151
11,23
61,123
93,187
42,85
40,81
64,129
39,79
67,135
47,95
43,87
57,115
36,73
79,159
34,69
57,115
72,145
23,47
67,135
15,31
12,25
69,139
78,157
81,163
12,25
12,25
79,159
56,113
24,49
12,25
93,187
78,157
50,101
36,73
55,111
53,107
44,89
48,97
87,175
4,9
14,29
32,65
85,171
3,7
13,27
74,149
68,137
80,161
1,3
83,167
42,85
52,105
61,123
80,161
15,31
67,135
53,107
26,53
87,175
50,101
27,55
82,165
87,175
80,161
41,83
47,95
21,43
17,35
8,17
55,111
17,35
89,179
13,27
91,183
21,43
55,111
86,173
8,17
42,85
36,73
46,93
36,73
89,179
79,159
44,89
35,71
70,141
40,81
64,129
56,113
95,191
72,145
57,115
30,61
19,39
98,197
19,39
66,133
39,79
78,157
6,13
60,121
4,9
86,173
46,93
16,33
90,181
70,141
41,83
50,101
58,117
80,161
3,7
21,43
95,191
29,59
13,27
6,13
48,97
13,27
24,49
77,155
27,55
26,53
50,101
9,19
11,23
25,51
77,155
41,83
48,97
99,199
77,155
80,161
80,161
92,185
53,107
93,187
50,101
68,137
34,69
61,123
35,71
79,159
17,35
70,141
33,67
42,85
15,31
99,199
64,129
62,125
42,85
45,91
61,123
53,107
86,173
75,151
48,97
84,169
37,75
13,27
39,79
7,15
60,121
36,73
52,105
35,71
73,147
21,43
78,157
69,139
19,39
97,195
66,133
45,91
97,195
45,91
34,69
44,89
92,185
66,133
39,79
36,73
38,77
62,125
50,101
94,189
75,151
16,33
49,99
79,159
81,163
13,27
50,101
92,185
11,23
55,111
85,171
86,173
33,67
94,189
76,153
51,103
61,123
70,141
19,39
22,45
98,197
49,99
55,111
26,53
67,135
44,89
11,23
72,145
87,175
28,57
17,35
86,173
93,187
71,143
39,79
23,47
2,5
34,69
58,117
6,13
7,15
62,125
19,39
11,23
38,77
10,21
35,71
48,97
11,23
18,37
35,71
59,119
86,173
44,89
35,71
38,77
72,145
88,177
38,77
34,69
80,161
88,177
26,53
89,179
93,187
38,77
89,179
25,51
60,121
11,23
98,197
3,7
79,159
16,33
22,45
78,157
97,195
65,131
69,139
81,163
100,201
53,107
36,73
80,161
43,87
47,95
33,67
25,51
30,61
41,83
59,119
72,145
58,117
71,143
22,45
9,19
84,169
87,175
10,21
42,85
22,45
2,5
34,69
9,19
74,149
56,113
32,65
73,147
53,107
97,195
2,5
52,105
94,189
32,65
73,147
54,109
64,129
24,49
78,157
91,183
87,175
83,167
5,11
63,127
88,177
68,137
5,11
69,139
93,187
93,187
25,51
91,183
17,35
99,199
23,47
20,41
83,167
7,15
9,19
23,47
30,61
10,21
20,41
18,37
48,97
69,139
86,173
65,131
85,171
47,95
93,187
36,73
10,21
86,173
41,83
85,171
17,35
72,145
24,49
19,39
7,15
2,5
55,111
50,101
86,173
55,111
32,65
92,185
53,107
3,7
59,119
43,87
55,111
57,115
78,157
25,51
68,137
63,127
96,193
81,163
98,197
25,51
98,197
27,55
85,171
58,117
61,123
65,131
13,27
11,23
66,133
11,23
8,17
33,67
35,71
1,3
34,69
100,201
26,53
26,53
16,33
41,83
99,199
52,105
59,119
83,167
43,87
44,89
56,113
61,123
67,135
37,75
54,109
81,163
32,65
82,165
15,31
39,79
99,199
87,175
35,71
46,93
42,85
59,119
86,173
64,129
18,37
2,5
77,155
70,141
48,97
45,91
33,67
36,73
6,13
10,21
61,123
68,137
45,91
65,131
62,125
1,3
56,113
44,89
23,47
96,193
48,97
62,125
89,179
58,117
99,199
42,85
12,25
66,133
73,147
16,33
17,35
97,195
89,179
7,15
16,33
49,99
70,141
14,29
67,135
59,119
6,13
32,65
71,143
62,125
61,123
35,71
6,13
21,43
28,57
81,163
36,73
31,63
55,111
96,193
48,97
65,131
13,27
53,107
49,99
34,69
80,161
53,107
79,159
17,35
48,97
23,47
67,135
60,121
13,27
41,83
80,161
57,115
35,71
16,33
2,5
13,27
19,39
30,61
69,139
38,77
53,107
2,5
94,189
72,145
2,5
71,143
50,101
66,133
16,33
54,109
81,163
70,141
30,61
87,175
50,101
4,9
44,89
62,125
72,145
45,91
24,49
2,5
64,129
59,119
5,11
33,67
68,137
20,41
40,81
3,7
74,149
8,17
88,177
32,65
45,91
4,9
68,137
52,105
76,153
60,121
29,59
54,109
84,169
20,41
91,183
29,59
79,159
91,183
28,57
39,79
62,125
91,183
4,9
77,155
22,45
45,91
74,149
63,127
41,83
46,93
39,79
10,21
59,119
44,89
77,155
82,165
21,43
69,139
5,11
22,45
81,163
14,29
41,83
35,71
39,79
89,179
61,123
61,123
77,155
98,197
39,79
54,109
23,47
22,45
43,87
17,35
12,25
75,151
47,95
3,7
52,105
89,179
36,73
11,23
82,165
43,87
71,143
70,141
88,177
84,169
10,21
88,177
94,189
68,137
53,107
7,15
12,25
33,67
6,13
59,119
100,201
68,137
31,63
62,125
22,45
15,31
43,87
93,187
69,139
71,143
38,77
7,15
20,41
99,199
64,129
5,11
3,7
37,75
66,133
37,75
2,5
41,83
66,133
43,87
28,57
15,31
13,27
33,67
39,79
15,31
35,71
30,61
63,127
21,43
88,177
34,69
38,77
12,25
85,171
69,139
40,81
21,43
66,133
89,179
77,155
97,195
6,13
95,191
8,17
81,163
7,15
26,53
51,103
29,59
43,87
67,135
13,27
68,137
77,155
25,51
7,15
73,147
79,159
7,15
24,49
49,99
75,151
25,51
15,31
20,41
99,199
23,47
39,79
23,47
61,123
10,21
88,177
81,163
31,63
34,69
79,159
73,147
87,175
32,65
86,173
6,13
77,155
54,109
57,115
47,95
77,155
43,87
32,65
43,87
7,15
61,123
3,7
16,33
34,69
17,35
26,53
26,53
66,133
35,71
53,107
81,163
100,201
35,71
65,131
36,73
89,179
82,165
56,113
47,95
93,187
77,155
32,65
16,33
26,53
64,129
26,53
26,53
95,191
65,131
76,153
87,175
22,45
94,189
30,61
6,13
23,47
15,31
15,31
35,71
22,45
45,91
84,169
59,119
84,169
42,85
12,25
79,159
92,185
83,167
53,107
16,33
89,179
51,103
96,193
55,111
95,191
94,189
8,17
57,115
85,171
31,63
65,131
100,201
97,195
29,59
15,31
61,123
33,67
57,115
35,71
71,143
20,41
69,139
5,11
35,71
15,31
7,15
16,33
69,139
10,21
94,189
14,29
62,125
10,21
32,65
67,135
96,193
68,137
49,99
81,163
38,77
86,173
23,47
70,141
85,171
49,99
73,147
35,71
67,135
54,109
72,145
2,5
100,201
13,27
36,73
7,15
1,3
10,21
66,133
7,15
34,69
78,157
40,81
65,131
60,121
98,197
79,159
29,59
58,117
62,125
62,125
69,139
81,163
18,37
80,161
62,125
19,39
43,87
63,127
92,185
9,19
58,117
6,13
86,173
99,199
88,177
99,199
78,157
50,101
17,35
53,107
89,179
98,197
87,175
71,143
29,59
96,193
79,159
58,117
72,145
82,165
41,83
41,83
31,63
11,23
57,115
47,95
42,85
62,125
38,77
91,183
80,161
32,65
60,121
90,181
25,51
92,185
28,57
11,23
62,125
91,183
4,9
61,123
93,187
95,191
33,67
55,111
18,37
30,61
66,133
34,69
11,23
85,171
69,139
28,57
69,139
44,89
86,173
83,167
58,117
33,67
30,61
86,173
87,175
23,47
60,121
2,5
81,163
46,93
17,35
57,115
16,33
100,201
76,153
1,3
98,197
71,143
86,173
26,53
48,97
74,149
73,147
66,133
62,125
11,23
86,173
97,195
90,181
10,21
1,3
19,39
41,83
51,103
1,3
54,109
43,87
39,79
63,127
99,199
24,49
46,93
49,99
25,51
47,95
90,181
88,177
51,103
81,163
33,67
55,111
58,117
65,131
39,79
36,73
24,49
46,93
82,165
10,21
75,151
81,163
34,69
45,91
78,157
10,21
36,73
59,119
96,193
68,137
70,141
87,175
20,41
5,11
81,163
23,47
51,103
81,163
1,3
83,167
92,185
86,173
32,65
22,45
40,81
43,87
83,167
16,33
42,85
56,113
83,167
82,165
26,53
56,113
59,119
16,33
65,131
70,141
65,131
81,163
68,137
13,27
33,67
83,167
23,47
69,139
15,31
27,55
42,85
27,55
43,87
71,143
57,115
99,199
19,39
21,43
41,83
61,123
13,27
67,135
64,129
58,117
28,57
92,185
94,189
90,181
2,5
11,23
21,43
61,123
84,169
43,87
45,91
59,119
53,107
55,111
77,155
99,199
90,181
85,171
78,157
33,67
31,63
68,137
24,49
62,125
48,97
2,5
71,143
81,163
2,5
26,53
29,59
71,143
98,197
13,27
82,165
5,11
54,109
53,107
75,151
56,113
72,145
28,57
99,199
91,183
25,51
98,197
83,167
81,163
2,5
82,165
46,93
92,185
5,11
88,177
8,17
73,147
24,49
47,95
6,13
24,49
38,77
27,55
53,107
43,87
16,33
36,73
83,167
71,143
80,161
33,67
40,81
2,5
1,3
42,85
74,149
95,191
56,113
90,181
44,89
64,129
35,71
60,121
53,107
39,79
83,167
31,63
8,17
58,117
8,17
85,171
64,129
84,169
76,153
61,123
96,193
80,161
1,3
89,179
96,193
18,37
26,53
96,193
44,89
26,53
88,177
78,157
81,163
27,55
73,147
39,79
97,195
50,101
83,167
14,29
56,113
46,93
64,129
79,159
66,133
91,183
44,89
14,29
35,71
41,83
58,117
15,31
60,121
36,73
90,181
96,193
70,141
99,199
55,111
19,39
66,133
47,95
38,77
20,41
17,35
12,25
83,167
86,173
12,25
65,131
30,61
22,45
15,31
55,111
15,31
91,183
68,137
81,163
20,41
55,111
70,141
91,183
63,127
95,191
11,23
99,199
20,41
29,59
50,101
86,173
59,119
5,11
58,117
15,31
50,101
72,145
69,139
4,9
40,81
25,51
4,9
44,89
17,35
52,105
7,15
89,179
8,17
54,109
73,147
3,7
98,197
18,37
34,69
66,133
20,41
1,3
31,63
45,91
55,111
38,77
52,105
95,191
83,167
91,183
22,45
27,55
51,103
46,93
36,73
60,121
32,65
61,123
2,5
62,125
5,11
89,179
84,169
52,105
94,189
78,157
42,85
13,27
10,21
32,65
73,147
45,91
30,61
26,53
95,191
98,197
99,199
41,83
35,71
27,55
2,5
61,123
57,115
50,101
96,193
23,47
51,103
34,69
21,43
27,55
98,197
71,143
71,143
57,115
77,155
37,75
59,119
15,31
23,47
34,69
40,81
71,143
22,45
12,25
4,9
89,179
71,143
91,183
78,157
70,141
25,51
80,161
25,51
50,101
37,75
59,119
100,201
76,153
67,135
67,135
94,189
29,59
63,127
65,131
52,105
28,57
98,197
31,63
47,95
42,85
82,165
83,167
72,145
51,103
87,175
40,81
12,25
15,31
77,155
64,129
87,175
81,163
48,97
79,159
34,69
34,69
46,93
26,53
72,145
33,67
36,73
98,197
46,93
89,179
50,101
85,171
27,55
93,187
83,167
79,159
40,81
24,49
67,135
93,187
33,67
33,67
70,141
39,79
79,159
99,199
24,49
34,69
40,81
45,91
65,131
59,119
86,173
50,101
87,175
100,201
48,97
49,99
65,131
95,191
8,17
76,153
46,93
26,53
23,47
44,89
86,173
99,199
93,187
60,121
74,149
16,33
55,111
48,97
81,163
64,129
27,55
28,57
17,35
27,55
86,173
98,197
45,91
41,83
56,113
53,107
80,161
95,191
87,175
17,35
29,59
68,137
71,143
19,39
59,119
86,173
5,11
99,199
100,201
61,123
92,185
49,99
51,103
75,151
15,31
50,101
6,13
7,15
13,27
65,131
29,59
79,159
100,201
22,45
49,99
26,53
47,95
87,175
41,83
81,163
60,121
99,199
38,77
99,199
3,7
82,165
25,51
76,153
29,59
54,109
67,135
37,75
89,179
68,137
7,15
73,147
66,133
57,115
60,121
39,79
28,57
26,53
48,97
72,145
12,25
39,79
61,123
45,91
56,113
65,131
37,75
95,191
58,117
66,133
63,127
6,13
70,141
70,141
95,191
86,173
6,13
68,137
70,141
9,19
63,127
47,95
100,201
18,37
79,159
93,187
48,97
25,51
52,105
25,51
38,77
38,77
65,131
81,163
60,121
43,87
36,73
13,27
87,175
64,129
73,147
20,41
21,43
86,173
49,99
67,135
12,25
57,115
5,11
82,165
39,79
94,189
90,181
31,63
18,37
48,97
65,131
42,85
70,141
92,185
34,69
